inter-simulus interval,reponse time
7650,0
316,700
385,400
226,416
164,416
138,616
203,450
452,400
240,400
356,366
442,433
209,416
394,400
372,400
427,416
448,416
433,466
326,400
435,433
547,433
138,416
505,550
293,416
500,433
518,466
212,583
413,500
344,433
514,366
291,466
242,650
133,900
231,400
563,433
218,433
504,416
462,450
592,383
417,416
549,483
226,466
293,500
145,433
456,350
214,450
341,416
171,433
296,450
585,450
163,400
582,466
313,433
539,416
234,566
459,550
159,416
353,500
520,350
248,466
408,416
552,400
273,433
264,483
537,533
325,433
406,466
450,416
375,466
536,400
406,733
136,400
464,850
449,433
257,366
465,433
438,350
271,366
520,500
386,483
479,383
316,533
466,950
405,500
407,400
133,400
358,466
