inter-simulus interval,reponse time
6066,0
314,683
292,400
511,333
517,333
440,316
129,316
244,450
332,350
495,366
385,383
392,366
514,350
234,366
328,383
553,383
363,-5000
377,666
367,366
400,383
139,533
262,466
299,333
497,333
572,350
455,383
334,383
596,383
158,516
152,400
438,400
385,400
503,400
433,366
401,316
161,550
276,450
458,333
534,416
378,366
490,483
371,350
372,333
474,450
150,350
195,533
199,583
137,533
242,450
422,316
175,350
328,500
459,416
163,333
144,383
373,366
500,333
219,366
388,416
593,366
387,333
555,350
264,366
122,416
491,433
347,383
380,433
428,850
436,416
397,383
531,483
352,383
331,433
289,400
137,450
368,400
464,350
444,316
128,333
399,383
361,350
261,383
491,366
448,366
480,500
593,316
465,316
419,383
404,316
326,533
575,333
496,333
464,316
321,400
485,416
435,400
266,383
285,450
404,533
276,400
554,366
358,466
