inter-simulus interval,reponse time
7016,0
540,-1000
316,-1000
327,-1000
365,-1000
222,-1000
426,-1000
134,-1000
439,-1000
391,-1000
240,-1000
213,-1000
416,-1000
353,-1000
519,-1000
329,-1000
273,-1000
312,-1000
340,-1000
258,-1000
442,-1000
200,-1000
248,-1000
216,-1000
490,-1000
239,-1000
583,-1000
581,-1000
155,-1000
569,-1000
312,-1000
283,-1000
207,-1000
456,-1000
367,-1000
398,-1000
160,-1000
373,-1000
383,-1000
599,-1000
488,-1000
583,-1000
414,-1000
494,-1000
330,-1000
550,-1000
554,-1000
390,-1000
144,-1000
277,-1000
452,-1000
575,-1000
389,-1000
433,-1000
498,-1000
284,-1000
534,-1000
409,-1000
315,-1000
207,-1000
563,-1000
554,-1000
327,-1000
565,-1000
581,-1000
459,-1000
274,-1000
438,-1000
530,-1000
223,-1000
