inter-simulus interval,reponse time
7350,0
339,1033
221,1066
191,716
125,500
402,650
446,416
513,516
248,533
393,483
202,416
363,466
511,516
253,550
335,616
140,616
493,500
379,450
479,466
268,450
398,416
238,533
488,466
391,400
435,500
168,400
168,533
539,533
343,500
229,500
128,566
289,500
311,400
574,516
435,350
483,416
501,-5000
593,583
367,966
150,466
134,550
470,533
468,466
510,400
588,466
132,483
290,566
578,433
490,500
292,1166
267,466
176,500
298,533
494,366
136,366
559,450
194,383
269,400
579,333
223,366
167,416
277,450
453,450
233,366
204,516
376,416
343,-5000
404,383
156,533
355,400
369,400
576,450
323,416
278,516
179,450
420,850
179,366
401,433
133,383
248,416
493,466
186,483
421,500
185,400
377,483
316,550
347,450
489,450
200,466
475,433
260,433
302,533
192,516
287,516
160,433
576,516
433,566
168,433
120,416
346,616
388,433
358,650
444,433
414,383
517,433
479,383
325,416
370,450
552,383
